HAB;WC;M2C;EST;AA;ARME;TERZ;INEX;ORIE;GJE;TRAS;ASC;PISC;ZV;PV
2;1;86;0;1;0;1;0;15;1;1;0;1;1;165.000
2;2;85;0;0;0;0;0;14;0;0;0;0;1;165.000
2;2;116;0;0;1;0;0;11;1;1;0;0;0;165.000
3;2;112;0;1;0;0;0;2;1;1;0;1;1;165.000
1;2;95;2;1;1;1;2;15;1;0;0;1;1;165.000
3;2;105;2;1;1;1;0;15;1;1;0;1;1;164.000
4;2;185;1;0;0;0;0;6;1;1;0;1;1;163.000
2;1;75;0;0;1;0;0;15;1;1;1;1;1;163.000
3;1;75;0;0;1;1;0;15;1;1;0;1;1;163.000
3;2;101;0;0;1;0;0;14;0;1;0;1;0;162.000
2;2;70;2;1;0;0;0;15;0;1;0;0;0;162.000
4;2;130;0;1;1;1;2;15;1;1;0;1;1;162.000
3;2;88;2;1;1;0;0;15;0;1;0;0;1;160.750
2;1;90;0;0;0;1;0;2;1;0;1;1;0;160.000
2;1;58;0;1;1;1;0;15;1;1;1;1;1;160.000
1;1;50;0;1;0;1;0;15;0;1;0;1;1;160.000
3;1;82;0;1;0;1;0;5;1;1;0;1;1;160.000
2;1;60;0;1;0;0;0;1;0;1;0;1;1;160.000
3;2;117;0;1;1;0;0;1;0;0;1;1;1;160.000
4;2;130;0;1;0;0;0;15;0;0;0;1;1;160.000
2;2;71;0;1;0;1;0;1;0;0;0;0;0;160.000
4;2;140;0;1;1;1;0;15;1;1;0;1;1;160.000
4;2;105;0;1;0;0;0;15;0;1;0;0;1;160.000
3;2;104;0;0;0;1;0;0;0;0;0;1;1;160.000
3;1;90;2;1;1;0;0;15;1;1;1;1;1;160.000
4;2;110;2;1;1;0;0;15;0;0;0;1;1;160.000
2;1;72;2;1;0;1;0;1;0;1;1;1;1;160.000
3;2;80;0;1;0;1;0;15;0;0;0;1;1;160.000
3;2;90;0;0;1;1;2;5;1;1;0;1;0;160.000
1;2;66;0;1;0;0;0;1;0;0;1;1;0;160.000
2;2;69;2;1;1;1;2;15;1;1;1;1;1;159.900
4;2;147;0;1;0;0;0;2;0;0;0;1;1;159.500
3;2;112;0;1;0;1;0;15;0;0;0;1;0;159.334
2;1;74;0;0;0;1;0;15;1;1;0;1;1;159.000
2;1;50;0;1;0;1;0;15;0;0;0;0;1;159.000
3;2;107;0;0;0;1;1;15;0;1;0;1;1;159.000
3;1;100;0;1;0;1;0;2;1;1;0;1;0;159.000
3;2;69;0;0;1;0;1;1;0;0;0;1;1;159.000
2;1;55;0;1;1;0;0;1;1;1;1;1;0;159.000
2;2;91;0;1;1;0;0;1;1;1;0;0;1;159.000
3;2;97;0;1;1;1;0;15;1;1;0;1;1;159.000
2;2;80;0;1;0;0;0;2;1;1;0;0;0;159.000
3;2;90;0;0;0;1;0;1;0;0;0;0;0;159.000
3;2;90;0;1;0;0;0;3;1;1;0;1;1;159.000
3;2;104;0;1;1;1;0;15;0;0;0;1;0;158.200
3;2;108;0;0;1;0;0;15;1;1;1;1;0;158.000
3;2;78;2;1;1;1;0;12;0;0;0;1;1;158.000
